txt file,lines,sentence,leave out,meaning,construction,subject,causer type,theme type,theme phrase,notes
wlp_mag_1990.txt,4237011-4237032,"Is this picture too bleak? Well, it is just possible that all the imponderable factors will break right.",,happen,unaccusative,promoted,,,,
wlp_acad_2005.txt,3303889-3303941,"Opponents thus engaged in many of the strategies of resistance that feminists have suggested are necessary to"" break mothering free of ideological encapsulation."" (n54) Despite these attempts to challenge mandatory testing and maternal ideology simultaneously, opponents were not able to break free of maternal ideology completely.",,break_free_escape,causative,underlying,,,,
wlp_acad_2001.txt,2885235-2885268,"Networking with other music teachers, both new and experienced, can be a professional lifeline for beginning music teachers and can help to break the isolation of the first years of teaching.",,end,causative,underlying,dynamic,state,the isolation of the first years of teaching,
wlp_mag_2007.txt,4522383-4522412,"""Am I good enough to be No. 1? Sure, but who's gon na break Tiger's legs? Laughs I want to be the best.",,separate_into_parts,causative,underlying,human,body part,Tiger's legs,"inanimate, natural, telic, atomic"
wlp_fic_2008.txt,4076800-4076825,"""When are you going to break down and say yes?"" Josie's cell phone pealed and vibrated simultaneously in her pocket.",,break_down_succumb,unaccusative,promoted,,human,you,
wlp_fic_2000.txt,4392456-4392504,"GARAGE- CLEAR RIVER'S HOUSE- NIGHT- DOOR OPENER MOTER the screws holding the arm to the ceiling begin to pull away... A METAL CAN on a shelf, is rocked as, O.S., the CAR rattles the garage, trting to break free.",,break_free_escape,unergative,underlying,,,,
wlp_mag_1995.txt,4520447-4520467,"With a trowel, mix the ingredients together, making sure that you break up the moss into small particles.",,break_up_separate_into_parts,causative,underlying,human,natural,the moss,"inanimate, natural, homogenous"
wlp_spok_2002.txt,1592999-1593064,"But there was one scene in the casino where I freak out and I sort of smash the table and break a glass and start shouting, that I was completely inebriated, and so much so that I had to crawl to my room after I had done the scene, and I do n't think I ever made it into my hotel room.",,separate_into_parts,causative,underlying,human,artificial,a glass,"inanimate, artificial, telic, atomic"
wlp_news_1999.txt,2796961-2796993,"Workers deployed booms to contain the oil, skimmer boats to vacuum it off the surface, chemical dispersants to break it up and steam to clean it off beaches.",,break_up_separate_into_parts,causative,underlying,,artificial,it,"inanimate, artificial, homogenous"
wlp_spok_2000.txt,3954501-3954541,"##187993 LARRY KING, HOST: Tonight, angry protesters break through barricades in the streets of Miami as word spreads that Elian Gonzalez's father may soon be coming to the United States to be reunited with his son.",,break_through_pass_through,unergative,underlying,,,,
